sample,elapsed_s,current_time,tick,ct_changed,dispatcher_post,slider_notify,display_notify,msg_sent,msg_throttled,rcv_received,rcv_scheduled,rcv_completed,rcv_coalesced,lat_p50_ms,lat_p95_ms,lat_max_ms
1,0.989,0.1,50,10,10,10,6,5,5,5,5,5,0,16.794,25.211,25.448
2,1.998,0.2,43,10,10,10,7,7,3,7,7,7,0,16.502,22.152,24.482
3,3.012,0.3,41,10,10,10,7,7,3,7,7,7,0,16.681,16.835,16.844
4,4.012,0.4,44,10,10,10,5,5,5,5,5,5,0,16.455,23.018,24.629
5,5.024,0.5,45,10,10,10,7,7,3,7,7,7,0,16.462,24.545,24.573
6,6.027,0.6,43,10,10,10,6,6,4,6,6,6,0,24.524,24.692,24.735
7,7.036,0.7,44,10,10,10,7,7,3,7,7,7,0,16.441,22.124,24.543
8,8.052,0.8,47,10,10,10,7,7,3,7,7,7,0,16.705,24.562,24.605
9,9.049,0.9,44,10,10,10,5,5,5,5,5,5,0,16.602,24.687,24.731
10,10.064,1,41,10,10,10,7,7,3,7,7,7,0,16.543,22.417,24.718
11,11.050,1.1,43,10,10,10,5,5,5,5,5,5,0,16.51,24.688,24.709
12,12.057,1.2,46,10,10,10,7,7,3,7,7,7,0,16.51,31.67,32.598
