sample,elapsed_s,current_time,tick,ct_changed,dispatcher_post,slider_notify,display_notify,msg_sent,msg_throttled,rcv_received,rcv_scheduled,rcv_completed,rcv_coalesced,lat_p50_ms,lat_p95_ms,lat_max_ms
1,1.015,0.09715,48,48,9,9,9,8,40,8,7,7,0,8.322,66.299,74.02
2,2.021,0.19994,45,45,8,8,8,8,37,8,8,8,0,48.445,55.738,55.886
3,3.020,0.29975,41,41,8,8,8,9,32,9,9,9,0,16.704,42.712,46.048
4,4.015,0.40027,40,40,9,9,9,9,31,9,9,8,0,16.823,40.323,48.399
5,5.021,0.49975,44,44,8,8,8,8,36,8,8,9,0,16.425,24.945,24.973
6,6.018,0.60065,38,38,9,9,9,9,29,9,9,8,0,16.444,16.526,16.533
7,7.020,0.70054,41,41,8,8,8,8,33,8,8,9,0,16.619,30.176,33.982
8,8.018,0.8007,36,36,9,9,9,9,27,9,9,8,0,16.476,16.753,16.845
9,9.022,0.90085,42,42,8,8,8,8,34,8,8,9,0,16.601,24.549,24.568
10,10.025,0.99977,42,42,8,8,8,8,34,8,8,8,0,16.533,24.632,24.756
11,11.017,1.09822,41,41,8,8,8,8,33,8,8,8,0,16.524,24.69,24.848
12,12.034,1.20221,46,46,9,9,9,9,37,9,9,9,0,24.42,34.912,41.837
