sample,elapsed_s,current_time,tick,ct_changed,dispatcher_post,slider_notify,display_notify,msg_sent,msg_throttled,rcv_received,rcv_scheduled,rcv_completed,rcv_coalesced,lat_p50_ms,lat_p95_ms,lat_max_ms
1,0.995,0.09852,119,119,119,119,10,9,110,9,1,0,8,-1,-1,-1
2,1.996,0.19863,120,120,120,120,10,10,110,10,0,0,10,-1,-1,-1
3,2.992,0.29839,120,120,120,120,9,9,111,9,0,0,9,-1,-1,-1
4,3.994,0.39855,121,121,121,121,10,10,111,10,0,0,10,-1,-1,-1
5,4.993,0.49852,120,120,120,120,9,9,111,9,0,0,9,-1,-1,-1
6,5.993,0.59846,121,121,121,121,10,10,111,10,0,0,10,-1,-1,-1
7,6.994,0.6985,121,121,121,121,9,9,112,9,0,0,9,-1,-1,-1
8,7.994,0.79852,120,120,120,120,10,10,110,10,0,0,10,-1,-1,-1
9,8.994,0.89853,121,121,121,121,9,9,112,9,0,0,9,-1,-1,-1
10,9.990,0.99812,120,120,120,120,9,9,111,9,0,0,9,-1,-1,-1
11,10.992,1.09829,121,121,121,121,10,10,111,10,0,0,10,-1,-1,-1
12,11.994,1.1985,121,121,121,121,9,9,112,9,0,0,9,-1,-1,-1
